Country Name	ISO3	EEZ km2	landlocked	SIDS (1-car, 2-pac, 3-aims)	GDP per capita	GDP 2020	GDP PPP 2020	Population 2020	HAB forecast	LDC	coastline (world factbook km)	AlgaeBase hits [marine]	WB_order	haedat_n	obis_n
Aruba	ABW	0	0	1	23384.2988	2496648045	3329266442	106766	3	0	68.5	0	1	NA	NA
Africa Eastern and Southern	NA	0	0	0	1360.87864	922000000000	2480000000000	677243299	NA	0	NA	NA	2	NA	NA
Afghanistan	AFG	0	1	0	516.747871	20100000000	80900000000	38928341	27	1	0	0	3	NA	NA
Africa Western and Central	NA	0	0	0	1709.76413	784000000000	1950000000000	458803476	NA	0	NA	NA	4	NA	NA
Angola	AGO	518433	0	0	1631.43169	53600000000	213000000000	32866268	44	1	1600	135	5	0	8
Albania	ALB	13691	0	0	5332.16047	15100000000	38700000000	2837849	24	0	362	257	6	0	100
Andorra	AND	0	1	0	37416.6977	2891001149	NA	77265	3	0	155	0	7	NA	NA
Arab World	NA	0	0	0	5724.28687	2500000000000	6220000000000	436080728	NA	0	NA	NA	8	NA	NA
United Arab Emirates	ARE	58218	0	0	36284.5552	359000000000	660000000000	9890400	42	0	1318	37	9	0	0
Argentina	ARG	1159063	0	0	8585.69474	390000000000	942000000000	45376763	193	0	4989	1546	10	0	645
Armenia	ARM	0	1	0	4266.01807	12600000000	39400000000	2963234	3	0	155	0	11	NA	NA
American Samoa	ASM	0	0	2	12844.901	709000000	NA	55197	34	0	116	0	12	NA	NA
Antigua and Barbuda	ATG	110089	0	1	13992.7445	1370281481	1786243972	97928	9	0	153	5	13	0	0
Australia	AUS	8505348	0	0	51680.3165	1330000000000	1370000000000	25693267	865	0	25760	4762	14	0	45140
Austria	AUT	0	1	0	48588.6594	433000000000	497000000000	8916864	187	0	NA	22	15	NA	NA
Azerbaijan	AZE	0	1	0	4229.91065	42700000000	146000000000	10093121	8	0	0	2	16	0	0
Burundi	BDI	0	1	0	233.83751	2780510625	9168995941	11890781	3	1	0	0	17	NA	NA
Belgium	BEL	3447	0	0	45189.3669	522000000000	613000000000	11544241	220	0	66.5	57	18	0	1484
Benin	BEN	33221	0	0	1291.04097	15700000000	42500000000	12123198	10	1	121	29	19	0	0
Burkina Faso	BFA	0	1	0	857.93273	17900000000	47500000000	20903278	4	1	0	0	20	NA	NA
Bangladesh	BGD	118813	0	0	2270.34753	374000000000	987000000000	164689383	116	1	580	454	21	0	0
Bulgaria	BGR	34307	0	0	10079.2034	69900000000	170000000000	6934015	42	0	354	237	22	0	10723
Bahrain	BHR	10225	0	3	20406.5023	34700000000	74600000000	1701583	31	0	161	98	23	0	2
Bahamas, The	BHS	654715	0	1	24665.0968	9699500000	11400000000	393248	72	0	3542	385	24	0	4
Bosnia and Herzegovina	BIH	50	0	0	6082.36673	20000000000	51200000000	3280815	3	0	20	397	25	0	2
Belarus	BLR	0	1	0	6555.42682	61500000000	190000000000	9379952	6	0	0	0	26	NA	NA
Belize	BLZ	35351	0	1	3987.7966	1585631670	2451671311	397621	60	0	386	354	27	0	10
Bermuda	BMU	0	0	0	107706.04	6881662000	5128888009	63893	106	0	103	776	28	NA	NA
Bolivia	BOL	0	1	0	3137.98962	36600000000	96700000000	11673029	25	0	0	18	29	NA	NA
Brazil	BRA	3830955	0	0	6814.87563	1450000000000	3150000000000	212559409	414	0	7491	2305	30	3	579
Barbados	BRB	186898	0	1	16318.7481	4689534962	4036347784	287371	47	0	97	272	31	0	28
Brunei Darussalam	BRN	10090	0	0	27442.9538	12000000000	28700000000	437483	12	0	161	0	32	0	0
Bhutan	BTN	0	1	0	3000.77799	2315436303	8587507955	771612	5	1	0	0	33	NA	NA
Botswana	BWA	0	1	0	6348.83232	14900000000	36400000000	2351625	23	0	0	24	34	NA	NA
Central African Republic	CAF	0	1	0	481.746297	2326720921	4777693076	4829764	1	1	0	0	35	NA	NA
Canada	CAN	5599077	0	0	43258.2639	1650000000000	1770000000000	38037204	1160	0	202080	1811	36	1	10101
Central Europe and the Baltics	NA	0	0	0	16197.2993	1650000000000	3450000000000	102172351	NA	0	NA	NA	37	NA	NA
Switzerland	CHE	0	1	0	87100.4148	752000000000	620000000000	8636561	507	0	0	17	38	NA	NA
Channel Islands	NA	0	0	0	NA	NA	NA	173859	53	0	NA	NA	39	NA	NA
Chile	CHL	3681989	0	0	13220.5708	253000000000	480000000000	19116209	364	0	6435	832	40	0	1917
China	CHN	877019	0	0	10408.6698	14700000000000	24300000000000	1411100000	1230	0	14500	3325	41	0	517
Cote d'Ivoire	CIV	176254	0	0	2325.72371	61300000000	144000000000	26378275	28	0	515	139	42	0	0
Cameroon	CMR	16547	0	0	1537.13022	40800000000	103000000000	26545864	26	0	402	126	43	0	0
Congo, Dem. Rep.	COD	1606	0	0	543.950393	48700000000	102000000000	89561404	2	1	37	52	44	0	0
Congo, Rep.	COG	31017	0	0	1899.77824	10500000000	20400000000	5518092	43	0	169	19	45	0	0
Colombia	COL	808158	0	0	5312.19856	270000000000	757000000000	50882884	96	0	3208	974	46	0	134
Comoros	COM	163752	0	3	1407.40927	1223876065	2737360358	869595	10	1	340	0	47	0	0
Cabo Verde	CPV	800561	0	3	3064.27239	1703698677	3545047474	555988	7	0	965	514	48	0	2
Costa Rica	CRI	574725	0	0	12201.926	62200000000	113000000000	5094114	78	0	1290	331	49	0	8
Caribbean small states	NA	0	0	0	8857.87092	65900000000	117000000000	7442291	NA	0	NA	NA	50	NA	NA
Cuba	CUB	350751	0	1	9477.85287	107000000000	NA	11326616	81	0	3735	1119	51	0	7
Curacao	CUW	0	0	0	16109.8617	2496174736	3204496824	154947	7	0	364	NA	52	NA	NA
Cayman Islands	CYM	0	0	0	85346.762	5608989196	4763452231	65720	24	0	160	57	53	NA	NA
Cyprus	CYP	98707	0	0	27681.5664	24700000000	35300000000	1207361	35	0	648	335	54	0	27
Czechia	CZE	0	1	0	22933.4996	245000000000	445000000000	10697858	2	0	0	170	55	NA	NA
Germany	DEU	57485	0	0	46252.6893	3850000000000	4560000000000	83160871	697	0	2389	1342	56	1	14132
Djibouti	DJI	7459	0	0	3219.70113	3181071154	5466301003	988002	3	1	314	58	57	0	1
Dominica	DMA	28985	0	1	7003.85902	504214815	778800434	71991	25	0	148	0	58	0	0
Denmark	DNK	2551238	0	0	61063.3164	356000000000	351000000000	5831404	329	0	7314	490	59	2	14445
Dominican Republic	DOM	255898	0	1	7268.19691	78800000000	195000000000	10847904	30	0	1288	12	60	0	0
Algeria	DZA	126353	0	0	3306.85821	145000000000	497000000000	43851043	49	0	998	425	61	3	27
East Asia & Pacific (excluding high income)	NA	0	0	0	8270.45514	17500000000000	32300000000000	2114009483	NA	0	NA	NA	62	NA	NA
Early-demographic dividend	NA	0	0	0	3253.71346	10800000000000	31300000000000	3332103561	NA	0	NA	NA	63	NA	NA
East Asia & Pacific	NA	0	0	0	11483.5993	27100000000000	44000000000000	2361517682	NA	0	NA	NA	64	NA	NA
Europe & Central Asia (excluding high income)	NA	0	0	0	7435.16075	2980000000000	9080000000000	400895993	NA	0	NA	NA	65	NA	NA
Europe & Central Asia	NA	0	0	0	23981.022	22100000000000	33100000000000	922976036	NA	0	NA	NA	66	NA	NA
Ecuador	ECU	1077231	0	0	5627.77228	99300000000	192000000000	17643060	81	0	2237	NA	67	0	68
Egypt, Arab Rep.	EGY	263451	0	0	3569.20684	365000000000	1290000000000	102334403	131	0	2450	1036	68	0	175
Euro area	NA	0	0	0	38012.6673	13000000000000	16200000000000	342708355	NA	0	NA	NA	69	NA	NA
Eritrea	ERI	77728	0	0	NA	NA	NA	NA	8	1	2234	179	70	0	0
Spain	ESP	1039233	0	0	27056.4218	1280000000000	1790000000000	47363419	635	0	3964	3886	71	3	4947
Estonia	EST	36992	0	0	23054.3585	30700000000	50000000000	1329479	62	0	3794	11	72	0	6785
Ethiopia	ETH	0	1	0	936.450758	108000000000	279000000000	114963583	45	1	0	162	73	NA	NA
European Union	NA	0	0	0	34191.8283	15300000000000	20100000000000	447479493	NA	0	NA	NA	74	NA	NA
Fragile and conflict affected situations	NA	0	0	0	1743.36711	1680000000000	4490000000000	960960554	NA	0	NA	NA	75	NA	NA
Finland	FIN	87171	0	0	49160.8372	272000000000	282000000000	5529543	245	0	1250	73	76	0	10893
Fiji	FIJ	1282978	0	2	5102.84393	4574413823	10900000000	896444	46	0	1129	583	77	NA	NA
France	FRA	11691000	0	0	39037.1226	2630000000000	3170000000000	67379908	792	0	274853	3414	78	15	55072
Faroe Islands	FRO	0	0	0	66320.6792	3240759989	NA	48865	31	0	1117	NA	79	NA	NA
Micronesia, Fed. Sts.	FSM	2996419	0	2	3542.96979	407515928	408623149	115021	39	0	6112	900	80	0	503
Gabon	GAB	202790	0	0	6881.71423	15300000000	33600000000	2225728	8	0	885	125	81	0	205
United Kingdom	GBR	6805586	0	0	41098.0787	2760000000000	3120000000000	67081000	462	0	12429	2990	82	26	12902
Georgia	GEO	21946	0	0	4255.74299	15800000000	54800000000	3722716	NA	0	310	173	83	0	850
Ghana	GHA	235349	0	0	2254.15389	70000000000	179000000000	31072945	56	0	539	512	84	0	4
Gibraltar	GIB	0	0	0	NA	NA	NA	33691	NA	0	12	7	85	0	52
Guinea	GIN	59426	0	0	1078.95001	14200000000	36200000000	13132792	115	1	320	28	86	0	17
Gambia, The	GMB	23112	0	0	757.413112	1830413000	5501899807	2416664	26	1	80	350	87	0	2
Guinea-Bissau	GNB	123725	0	3	727.520172	1431758243	3834926315	1967998	7	1	350	23	88	0	0
Equatorial Guinea	GNQ	303509	0	0	7198.33588	10100000000	25500000000	1402985	4	0	296	81	89	0	1
Greece	GRC	505572	0	0	17647.2327	189000000000	299000000000	10700556	196	0	13676	1282	90	40	2877
Grenada	GRD	27426	0	1	9273.19929	1043411111	1718563487	112519	27	0	121	4	91	0	150
Greenland	GRL	0	0	0	54570.375	3075968329	NA	56367	197	0	44087	317	92	NA	NA
Guatemala	GTM	114170	0	0	4603.33964	77600000000	149000000000	16858333	73	0	400	19	93	1	9
Guam	GUM	0	0	2	34624.3401	5844000000	NA	168783	75	0	125.5	527	94	NA	NA
Guyana	GUY	137765	0	1	6955.93922	5471256595	15500000000	786559	12	0	459	27	95	0	0
High income	NA	0	0	0	43282.4235	53700000000000	62600000000000	1240684527	NA	0	NA	NA	96	NA	NA
Hong Kong SAR, China	HKG	0	0	0	46100.9759	345000000000	441000000000	7481000	281	0	733	0	97	NA	NA
Honduras	HND	249542	0	0	2405.73285	23800000000	53700000000	9904608	36	0	832	10	98	0	0
Heavily indebted poor countries (HIPC)	NA	0	0	0	975.474262	803000000000	2210000000000	823480038	NA	0	NA	NA	99	NA	NA
Croatia	HRV	59032	0	0	14132.4866	57200000000	116000000000	4047680	73	0	5835	322	100	0	1030
Haiti	HTI	126760	0	1	1272.36799	14500000000	35300000000	11402533	39	1	1771	305	101	0	0
Hungary	HUN	0	1	0	16075.9733	157000000000	324000000000	9750149	66	0	0	39	102	NA	NA
IBRD only	NA	0	0	0	6176.40377	30000000000000	67200000000000	4862446431	NA	0	NA	NA	103	NA	NA
IDA & IBRD total	NA	0	0	0	4925.38124	32400000000000	73900000000000	6571053159	NA	0	NA	NA	104	NA	NA
IDA total	NA	0	0	0	1365.04784	2330000000000	6770000000000	1708606728	NA	0	NA	NA	105	NA	NA
IDA blend	NA	0	0	0	1740.60381	999000000000	3000000000000	574159138	NA	0	NA	NA	106	NA	NA
Indonesia	IDN	6159032	0	0	3870.55762	1060000000000	3300000000000	273523621	197	0	54716	1172	107	0	669
IDA only	NA	0	0	0	1175.58661	1330000000000	3780000000000	1134447590	NA	0	NA	NA	108	NA	NA
Isle of Man	IMN	0	0	0	NA	NA	NA	85032	30	0	160	NA	109	NA	NA
India	IND	2305143	0	0	1933.10107	2670000000000	9010000000000	1380004385	456	0	7000	2631	110	8	99
Not classified	NA	0	0	0	NA	NA	NA	NA	NA	0	NA	NA	111	NA	NA
Ireland	IRL	410310	0	0	85422.5429	426000000000	465000000000	4985674	456	0	1448	1960	112	2	57067
Iran, Islamic Rep.	IRN	168718	0	0	2756.74998	232000000000	1330000000000	83992953	125	0	2440	440	113	0	0
Iraq	IRQ	771	0	0	4583.74749	184000000000	400000000000	40222503	40	0	58	660	114	0	0
Iceland	ISL	751345	0	0	59264.0341	21700000000	19600000000	366463	159	0	4970	473	115	14	1754
Israel	ISR	26352	0	0	44177.5712	407000000000	364000000000	9215100	137	0	273	650	116	0	0
Italy	ITA	541915	0	0	31834.9726	1890000000000	2500000000000	59449527	505	0	7600	1692	117	0	3664
Jamaica	JAM	258137	0	1	4664.53024	13800000000	27400000000	2961161	61	0	1022	317	118	0	0
Jordan	JOR	166	0	0	4282.76582	43700000000	106000000000	10203140	185	0	26	67	119	0	0
Japan	JPN	4479388	0	0	39918.1676	5040000000000	5320000000000	126261000	906	0	29751	3318	120	4	26797
Kazakhstan	KAZ	0	1	0	9121.63714	171000000000	502000000000	18755666	29	0	0	60	121	0	0
Kenya	KEN	116942	0	0	1872.12403	101000000000	247000000000	53771300	124	0	536	487	122	1	5
Kyrgyz Republic	KGZ	0	1	0	1182.5217	7780874537	32800000000	6579900	8	0	0	0	123	NA	NA
Cambodia	KHM	62515	0	0	1547.51139	25900000000	74000000000	16718971	42	1	443	13	124	0	0
Kiribati	KIR	3441810	0	2	1514.59106	180911844	259420938	119446	28	1	1143	15	125	0	500
St. Kitts and Nevis	KNA	9974	0	1	18440.8537	980905889	1363802433	53192	3	0	135	0	126	0	0
Korea, Rep.	KOR	475469	0	0	31597.5046	1640000000000	2340000000000	51836239	576	0	2413	63	127	84	755
Kuwait	KWT	11026	0	0	24811.7697	106000000000	202000000000	4270563	86	0	499	526	128	1	0
Latin America & Caribbean (excluding high income)	NA	0	0	0	6765.53278	4000000000000	8880000000000	590928198	NA	0	NA	NA	129	NA	NA
Lao PDR	LAO	0	1	0	2608.98283	19000000000	59900000000	7275556	41	1	0	0	130	NA	NA
Lebanon	LBN	19516	0	0	3801.79274	25900000000	77700000000	6825442	39	0	225	585	131	0	17
Liberia	LBR	249734	0	0	601.063006	3039982540	7425910175	5057677	9	1	579	120	132	0	0
